+-------------------------------+---------------------------+---------------+----------------+--------------------------------------------------------------------+-----------------+--------------------+--------------+---------+------------+----------+-------+----------------------+---------------------+----------+-----------------+-------------------+
| created_on                    | name                      | database_name | schema_name    | url                                                                | has_credentials | has_encryption_key | owner        | comment | region     | type     | cloud | notification_channel | storage_integration | endpoint | owner_role_type | directory_enabled |
|-------------------------------+---------------------------+---------------+----------------+--------------------------------------------------------------------+-----------------+--------------------+--------------+---------+------------+----------+-------+----------------------+---------------------+----------+-----------------+-------------------|
| 2024-08-23 06:54:31.926 -0700 | SPOTIFY_STAGE_PROCESSED   | SPOTIFY_DB    | SPOTIFY_SCHEMA | s3://spotify-api-project2-mahak/raw_data/processed/                | N               | N                  | ACCOUNTADMIN |         | ap-south-1 | EXTERNAL | AWS   | NULL                 | SPOTIFY_INTEGRATION | NULL     | ROLE            | N                 |
| 2024-08-23 06:33:20.711 -0700 | SPOTIFY_STAGE_TRANSFORMED | SPOTIFY_DB    | SPOTIFY_SCHEMA | s3://spotify-api-project2-mahak/transformed_data/track_songs_data/ | N               | N                  | ACCOUNTADMIN |         | ap-south-1 | EXTERNAL | AWS   | NULL                 | SPOTIFY_INTEGRATION | NULL     | ROLE            | N                 |
+-------------------------------+---------------------------+---------------+----------------+--------------------------------------------------------------------+-----------------+--------------------+--------------+---------+------------+----------+-------+----------------------+---------------------+----------+-----------------+-------------------+
2 Row(s) produced. Time Elapsed: 0.179s
